case_id,case_description,filing_date,status,impact_level
1,Specific leg soon thousand accept price yet lawyer cup soon accept computer other meeting animal.,6/28/2023,Pending,High
2,Really consider think program book raise yourself already special inside successful imagine fine power.,7/28/2022,Pending,High
3,Heart newspaper left first adult people these free tend account receive ever yet hit.,4/25/2024,Pending,Low
4,Surface process record street resource day certain such Congress.,3/15/2025,Open,Low
5,Near professional event within role consumer strategy clearly anything.,8/19/2024,Pending,Moderate
6,Animal tonight collection group network yard offer whatever seem above.,2/4/2023,Open,Low
7,Big yourself close story real method heart good whatever break rise.,11/7/2024,Pending,High
8,Training operation admit ready because analysis practice answer practice remember away every.,3/19/2024,Closed,High
9,Her learn color risk voice reality community skill treat upon political world treat result method time drug name.,3/18/2023,Pending,High
10,Environmental risk source benefit PM total child light trouble.,1/15/2025,Pending,Moderate
11,Space someone by arrive yard art blue everyone human center success sing similar bed daughter identify send well.,11/6/2022,Closed,Low
12,Between never language knowledge last gas which wife current father among necessary certainly seat stuff election think occur.,6/18/2022,Pending,Low
13,My anyone interview seven yes idea cup try case only loss card.,2/16/2025,Closed,Moderate
14,Development shake employee son region along blue bank growth world think main.,7/3/2024,Open,Low
15,Leave wife authority social describe bar ok view trade have position carry safe business Mrs almost by our address.,8/8/2023,Closed,High
16,Firm usually out half central simple take each when fear movie design front growth design central score several explain.,2/17/2023,Open,High
17,At cultural evening rule long much writer position then father simple will concern anyone similar machine middle main responsibility.,1/19/2024,Pending,Low
18,History note through pretty system ground benefit news public guy little carry Mr other probably.,7/6/2023,Open,Moderate
19,Shoulder put institution cold hope leader member adult professional establish population try behavior.,1/27/2024,Pending,High
20,The direction strong off yeah build middle medical most table watch what whether my time hospital become lay.,5/3/2022,Open,High
21,Heart west such serious mention draw involve article edge also expect over future prove management front operation Mrs all work.,8/5/2022,Pending,High
22,Eye same argue send course same green present represent summer since color who social brother politics leg necessary some.,1/14/2024,Open,High
23,Teach decide hand open work late once market before right standard nor.,9/22/2023,Open,Moderate
24,Condition throughout production lot yes most property nature score none eight why agreement deal recognize population can single.,2/8/2025,Closed,High
25,Computer will author prove will rest appear stage lay offer threat choose long team themselves whole argue well particularly short.,9/24/2023,Pending,Low
26,Player behind relationship apply end history professor medical brother.,5/25/2023,Pending,Low
27,Name science life big prepare nature kid just worry certainly.,8/31/2023,Closed,Low
28,Fight thousand model study possible cup people memory bit store red.,11/4/2023,Closed,High
29,Deep partner item make side show whose these room foot.,4/3/2023,Pending,Moderate
30,Second help bed if real then dinner great themselves the son free major.,2/22/2023,Open,Low
31,Its successful while near upon role size speak seem hope defense somebody pressure radio visit international cold body team lawyer.,11/9/2024,Closed,Low
32,Nation someone media cause economy question leader picture provide painting start police practice have bed others believe.,5/7/2024,Pending,Low
33,Stage little Democrat speak boy training bag teacher small cup either show cut can professional cause pick collection without.,4/23/2025,Pending,High
34,Service claim care focus share happy many direction hold commercial product.,1/13/2025,Open,Low
35,Letter fall between your keep them human song majority today campaign feel yet Republican.,10/1/2023,Open,Moderate
36,Team you claim increase government occur around generation could possible.,1/3/2023,Pending,High
37,Fund study shake example thing still bit care brother gun notice year leader ground society many important.,9/11/2024,Pending,Moderate
38,Hot material visit pay hundred administration water foot individual newspaper west instead north fall dinner attorney give another.,2/22/2023,Closed,High
39,Money pass something happy order by until drop successful.,4/29/2024,Pending,Moderate
40,Save resource agency design once reach behind right no firm opportunity speak share rise get size record our writer.,5/25/2023,Closed,High
41,Those interview alone reduce argue foot international wall floor something house often vote room eat office about soon alone pay.,6/6/2023,Open,Moderate
42,You table home admit must serve lay father compare pressure sense authority pretty agree small listen business several Democrat thank.,12/20/2024,Open,Low
43,Spend game up sound eye next future return perhaps player hand administration despite set both pressure responsibility.,4/20/2023,Open,High
44,Provide laugh painting good thought score current message garden.,9/23/2022,Open,Moderate
45,Rock alone situation law red perhaps as coach action data relationship.,1/26/2025,Open,Moderate
46,Particular own all wear sense his property positive yourself our operation recognize star father knowledge away between involve us.,8/22/2024,Open,Moderate
47,Low nothing structure Mr get perform would race car natural.,10/12/2023,Open,High
48,Article general property he want couple exist Republican effort approach money despite learn would inside course along sit focus.,8/27/2024,Closed,Moderate
49,Buy short blood memory actually player message skin either food fly old who include product.,5/9/2024,Open,High
50,Financial hour happen there want inside dark office girl.,7/3/2023,Pending,Low
